alpha1,alpha2,scenario_id,desc,reconn_time,drops_after,k20_150,k20_300,final_conn_300
1.0,0.5,1,"N=9, d=170m, Agent 4 Rc=22m, Fail 6@t=10",44.0,18,False,True,True
1.0,0.5,2,"N=9, d=165m, Agents 3,6 Rc=22m, Fail 5@t=10",,0,False,False,False
1.0,0.5,3,"N=11, d=180m, Agents 4,8 Rc=22m, Fail 6@t=10",25.0,1,True,False,False
1.0,0.5,4,"N=11, d=185m, Agent 5 Rc=20m, Fail 7@t=10",25.0,11,True,False,True
1.5,0.8,1,"N=9, d=170m, Agent 4 Rc=22m, Fail 6@t=10",49.0,9,True,True,True
1.5,0.8,2,"N=9, d=165m, Agents 3,6 Rc=22m, Fail 5@t=10",,0,False,False,False
1.5,0.8,3,"N=11, d=180m, Agents 4,8 Rc=22m, Fail 6@t=10",24.0,1,True,False,False
1.5,0.8,4,"N=11, d=185m, Agent 5 Rc=20m, Fail 7@t=10",23.0,23,True,False,True
2.0,1.0,1,"N=9, d=170m, Agent 4 Rc=22m, Fail 6@t=10",51.0,4,True,True,True
2.0,1.0,2,"N=9, d=165m, Agents 3,6 Rc=22m, Fail 5@t=10",,0,False,False,False
2.0,1.0,3,"N=11, d=180m, Agents 4,8 Rc=22m, Fail 6@t=10",24.0,0,True,True,True
2.0,1.0,4,"N=11, d=185m, Agent 5 Rc=20m, Fail 7@t=10",23.0,0,True,True,True
2.5,1.2,1,"N=9, d=170m, Agent 4 Rc=22m, Fail 6@t=10",45.0,8,True,True,True
2.5,1.2,2,"N=9, d=165m, Agents 3,6 Rc=22m, Fail 5@t=10",,0,False,False,False
2.5,1.2,3,"N=11, d=180m, Agents 4,8 Rc=22m, Fail 6@t=10",24.0,0,True,True,True
2.5,1.2,4,"N=11, d=185m, Agent 5 Rc=20m, Fail 7@t=10",23.0,0,True,True,True
3.0,1.5,1,"N=9, d=170m, Agent 4 Rc=22m, Fail 6@t=10",44.0,0,True,True,True
3.0,1.5,2,"N=9, d=165m, Agents 3,6 Rc=22m, Fail 5@t=10",,0,False,False,False
3.0,1.5,3,"N=11, d=180m, Agents 4,8 Rc=22m, Fail 6@t=10",24.0,0,True,True,True
3.0,1.5,4,"N=11, d=185m, Agent 5 Rc=20m, Fail 7@t=10",23.0,0,True,True,True
4.0,2.0,1,"N=9, d=170m, Agent 4 Rc=22m, Fail 6@t=10",46.0,0,True,True,True
4.0,2.0,2,"N=9, d=165m, Agents 3,6 Rc=22m, Fail 5@t=10",,0,False,False,False
4.0,2.0,3,"N=11, d=180m, Agents 4,8 Rc=22m, Fail 6@t=10",24.0,0,True,True,True
4.0,2.0,4,"N=11, d=185m, Agent 5 Rc=20m, Fail 7@t=10",23.0,0,True,True,True
5.0,2.5,1,"N=9, d=170m, Agent 4 Rc=22m, Fail 6@t=10",48.0,3,True,True,True
5.0,2.5,2,"N=9, d=165m, Agents 3,6 Rc=22m, Fail 5@t=10",123.0,0,False,True,True
5.0,2.5,3,"N=11, d=180m, Agents 4,8 Rc=22m, Fail 6@t=10",24.0,0,True,True,True
5.0,2.5,4,"N=11, d=185m, Agent 5 Rc=20m, Fail 7@t=10",23.0,0,True,True,True
