desc,seed,num_drones,reconnect_rel,snap_150,snap_300,k20_150,k20_300,drops_after,disagreement,category
"N=7, Seed=1000",1000,7,77.0,True,True,True,True,0,False,
"N=9, Seed=1001",1001,9,56.0,True,True,True,True,0,False,
"N=9, Seed=1002",1002,9,44.0,True,True,True,True,0,False,
"N=9, Seed=1003",1003,9,70.0,True,True,True,True,0,False,
"N=11, Seed=1004",1004,11,45.0,True,True,True,True,0,False,
"N=9, Seed=1005",1005,9,65.0,True,True,True,True,0,False,
"N=7, Seed=1006",1006,7,60.0,True,True,True,True,0,False,
"N=11, Seed=1007",1007,11,44.0,True,True,True,True,0,False,
"N=7, Seed=1008",1008,7,61.0,True,True,True,True,0,False,
"N=7, Seed=1009",1009,7,46.0,True,True,True,True,0,False,
"N=7, Seed=1010",1010,7,68.0,True,True,True,True,0,False,
"N=11, Seed=1011",1011,11,45.0,True,True,True,True,0,False,
"N=11, Seed=1012",1012,11,56.0,True,True,True,True,0,False,
"N=7, Seed=1013",1013,7,100.0,True,True,True,True,0,False,
"N=9, Seed=1014",1014,9,45.0,True,True,True,True,0,False,
"N=11, Seed=1015",1015,11,70.0,True,True,True,True,0,False,
"N=7, Seed=1016",1016,7,61.0,True,True,True,True,0,False,
"N=7, Seed=1017",1017,7,60.0,True,True,True,True,0,False,
"N=9, Seed=1018",1018,9,56.0,True,True,True,True,0,False,
"N=9, Seed=1019",1019,9,85.0,True,True,True,True,0,False,
"N=9, Seed=1020",1020,9,70.0,True,True,True,True,0,False,
"N=9, Seed=1021",1021,9,56.0,True,True,True,True,0,False,
"N=7, Seed=1022",1022,7,83.0,True,True,True,True,0,False,
"N=7, Seed=1023",1023,7,46.0,True,True,True,True,1,False,
"N=9, Seed=1024",1024,9,56.0,True,True,True,True,0,False,
"N=11, Seed=1025",1025,11,92.0,True,True,True,True,0,False,
"N=9, Seed=1026",1026,9,44.0,True,True,True,True,0,False,
"N=11, Seed=1027",1027,11,45.0,True,True,True,True,0,False,
"N=9, Seed=1028",1028,9,47.0,True,True,True,True,0,False,
"N=11, Seed=1029",1029,11,63.0,True,True,True,True,0,False,
"N=9, Seed=1030",1030,9,56.0,True,True,True,True,0,False,
"N=9, Seed=1031",1031,9,65.0,True,True,True,True,0,False,
"N=7, Seed=1032",1032,7,46.0,True,True,True,True,1,False,
"N=11, Seed=1033",1033,11,72.0,True,True,True,True,0,False,
"N=11, Seed=1034",1034,11,72.0,True,True,True,True,0,False,
"N=7, Seed=1035",1035,7,83.0,True,True,True,True,0,False,
"N=11, Seed=1036",1036,11,44.0,True,True,True,True,0,False,
"N=9, Seed=1037",1037,9,43.0,True,True,True,True,0,False,
"N=7, Seed=1038",1038,7,92.0,True,True,True,True,0,False,
"N=7, Seed=1039",1039,7,46.0,True,True,True,True,0,False,
"N=7, Seed=1040",1040,7,100.0,True,True,True,True,0,False,
"N=9, Seed=1041",1041,9,56.0,True,True,True,True,0,False,
"N=7, Seed=1042",1042,7,46.0,True,True,True,True,0,False,
"N=9, Seed=1043",1043,9,45.0,True,True,True,True,0,False,
"N=11, Seed=1044",1044,11,72.0,True,True,True,True,0,False,
"N=9, Seed=1045",1045,9,67.0,True,True,True,True,0,False,
"N=11, Seed=1046",1046,11,64.0,True,True,True,True,0,False,
"N=11, Seed=1047",1047,11,93.0,True,True,True,True,0,False,
"N=9, Seed=1048",1048,9,45.0,True,True,True,True,0,False,
"N=11, Seed=1049",1049,11,44.0,True,True,True,True,0,False,
"N=9, d=200m, Fail [3,6] at t=10 (Separated)",2001,9,,False,False,False,False,0,False,1. Simultaneous Double Failure
"N=9, d=200m, Fail [4,5] at t=10 (Adjacent)",2002,9,,False,False,False,False,0,False,1. Simultaneous Double Failure
"N=11, d=200m, Fail [3,7] at t=10 (Separated)",2003,11,21.0,True,True,True,True,1,False,1. Simultaneous Double Failure
"N=11, d=200m, Fail [5,6] at t=10 (Adjacent)",2004,11,51.0,True,True,True,True,0,False,1. Simultaneous Double Failure
