scenario_idx,desc,seed,d_ab,fail_id,tick,connected,max_speed,max_chain_link,max_chain_d,min_chain_slack,chain_str,cbf_active_total,qp_infeasible_total
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,0,True,0.38646319710315685,7-8,23.139241636304888,4.860758363695112,0-2:23.13; 2-3:23.12; 3-4:23.13; 4-5:23.12; 5-6:23.12; 6-7:23.13; 7-8:23.14; 8-1:23.10,1,0
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,1,True,0.6981725963620458,5-6,23.155450618195502,4.844549381804498,0-2:23.13; 2-3:23.12; 3-4:23.13; 4-5:23.12; 5-6:23.16; 6-7:23.13; 7-8:23.12; 8-1:23.09,2,0
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,2,True,0.5924523462602806,4-5,23.185572311962527,4.814427688037473,0-2:23.13; 2-3:23.12; 3-4:23.11; 4-5:23.19; 5-6:23.15; 6-7:23.14; 7-8:23.07; 8-1:23.10,3,0
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,3,True,0.48132930848474015,4-5,23.18836436217787,4.811635637822128,0-2:23.13; 2-3:23.10; 3-4:23.16; 4-5:23.19; 5-6:23.15; 6-7:23.11; 7-8:23.09; 8-1:23.07,4,0
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,4,True,0.5887306187212228,3-4,23.173171429963244,4.826828570036756,0-2:23.11; 2-3:23.15; 3-4:23.17; 4-5:23.16; 5-6:23.16; 6-7:23.08; 7-8:23.11; 8-1:23.05,5,0
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,5,True,0.3551256645553352,3-4,23.166145440468803,4.833854559531197,0-2:23.14; 2-3:23.16; 3-4:23.17; 4-5:23.15; 5-6:23.14; 6-7:23.11; 7-8:23.08; 8-1:23.07,6,0
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,6,True,0.4918292498524457,0-2,23.171268727869563,4.828731272130437,0-2:23.17; 2-3:23.16; 3-4:23.13; 4-5:23.14; 5-6:23.15; 6-7:23.11; 7-8:23.08; 8-1:23.07,7,0
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,7,True,0.524481741930823,0-2,23.22275799176884,4.777242008231159,0-2:23.22; 2-3:23.11; 3-4:23.11; 4-5:23.16; 5-6:23.12; 6-7:23.11; 7-8:23.10; 8-1:23.07,8,0
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,8,True,0.5189629432236857,0-2,23.228218239494094,4.771781760505906,0-2:23.23; 2-3:23.12; 3-4:23.14; 4-5:23.12; 5-6:23.08; 6-7:23.14; 7-8:23.10; 8-1:23.07,9,0
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,9,True,0.33670557672412627,0-2,23.217858487641493,4.782141512358507,0-2:23.22; 2-3:23.16; 3-4:23.13; 4-5:23.07; 5-6:23.09; 6-7:23.14; 7-8:23.09; 8-1:23.10,10,0
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,10,False,0.3992320776652033,4-6,46.09608268015724,-18.096082680157238,0-2:23.20; 2-3:23.21; 3-4:23.14; 4-6:46.10; 6-7:23.15; 7-8:23.11; 8-1:23.09,10,0
