category,config_desc,seed,num_drones,comm_range,A_reconnected,A_first_reconnect_rel_time,A_final_sum_rate_mbps,A_failure_mode,B_reconnected,B_first_reconnect_rel_time,B_final_sum_rate_mbps,B_failure_mode
1. Simultaneous Double Failure,"N=9, d=200m, Fail agents [3, 6] at t=10 (Separated)",2001,9,28.0,False,,188.5388890447076,Failed to Reconnect (Insufficient Span/Reach),False,,357.92338144686414,Failed to Reconnect (Insufficient Span/Reach)
1. Simultaneous Double Failure,"N=9, d=200m, Fail agents [4, 5] at t=10 (Adjacent)",2002,9,28.0,False,,189.83707399442937,Failed to Reconnect (Insufficient Span/Reach),False,,354.8042545080142,Failed to Reconnect (Insufficient Span/Reach)
1. Simultaneous Double Failure,"N=11, d=200m, Fail agents [3, 7] at t=10 (Separated)",2003,11,28.0,True,36.0,1396.263107831015,Success with Oscillation (14 transient drops),True,25.0,1396.5579318185037,Success with Oscillation (31 transient drops)
1. Simultaneous Double Failure,"N=11, d=200m, Fail agents [5, 6] at t=10 (Adjacent)",2004,11,28.0,True,69.0,1396.7004201113705,Success (Stable),True,65.0,1396.7560914226908,Success (Stable)
2. Cascading Failure,"N=9, d=200m, Fail agent 4 at t=10, Fail agent 6 at t=30",2011,9,28.0,False,,189.83707422118744,Failed to Reconnect (Insufficient Span/Reach),False,,354.80430932056686,Failed to Reconnect (Insufficient Span/Reach)
2. Cascading Failure,"N=9, d=200m, Fail agent 3 at t=10, Fail agent 5 at t=30",2012,9,28.0,False,,167.34531213014216,Failed to Reconnect (Insufficient Span/Reach),False,,0.0,Failed to Reconnect (Insufficient Span/Reach)
2. Cascading Failure,"N=11, d=200m, Fail agent 5 at t=10, Fail agent 7 at t=30",2013,11,28.0,True,59.0,1396.0928432063465,Success (Stable),True,51.0,1396.689313511465,Success (Stable)
2. Cascading Failure,"N=11, d=200m, Fail agent 4 at t=10, Fail agent 3 at t=30 (Adjacent)",2014,11,28.0,True,90.0,1396.4101853883344,Success (Stable),True,62.0,1396.965477134488,Success (Stable)
3. Scale Test (Large Swarm),"N=15, d=350m (14 hops, Rc=28m), Fail agent 7 at t=10 (Center)",2021,15,28.0,False,81.0,2040.9307638015364,Reconnect-then-Drift (53 post-reconnect disconnects),False,73.0,2039.0912569760387,Reconnect-then-Drift (48 post-reconnect disconnects)
3. Scale Test (Large Swarm),"N=15, d=350m (14 hops, Rc=28m), Fail agent 4 at t=10 (Endpoint-near)",2022,15,28.0,False,,2061.7886570883325,Failed to Reconnect (Insufficient Span/Reach),True,117.0,2221.8766276427305,Success (Stable)
