iteration,val_success,val_mean_time,val_mean_sr,mean_return,log_std,wall_clock_s
1,0.7,67.4,1030.804204670896,557.4102401686871,-1.000349998474121,15.798369600001024
5,1.0,65.7,1087.0277867299505,556.3695943740147,-1.0001752376556396,15.554948099998
10,0.9,65.3,1068.256403621555,574.6203028791267,-0.9989680051803589,12.530881200000294
15,0.9,62.1,1068.3988075553814,566.0455770663841,-0.9986649751663208,17.22022730000026
20,1.0,61.7,1087.14520059065,543.884483312916,-0.9989913702011108,13.90343330000178
21,0.9,62.7,1070.6031424041153,543.3359466770628,-0.9995454549789429,15.851564000004146
22,0.9,63.2,1068.6041209289358,557.8646474146158,-0.9997568726539612,15.542435900002602
23,0.7,63.0,1033.011210537638,542.425777009608,-0.9995861053466797,16.446893499996804
24,0.6,62.4,995.1437992236904,544.1926326973664,-0.9995050430297852,17.152119300000777
25,0.6,62.5,1014.4593505742662,532.6260077929064,-0.9993966221809387,16.61986220000108
26,0.9,63.6,1070.469505804752,545.0421475877067,-0.9999437928199768,15.454841500002658
27,0.9,63.8,1068.3443266777194,562.0204964179852,-1.0002000331878662,18.984943600000406
28,0.7,64.3,1014.2007459416047,569.7320816717133,-1.0020430088043213,15.536012199998368
29,0.9,62.6,1068.72861929411,568.5154809783076,-1.001253604888916,17.50580120000086
30,1.0,60.6,1086.9405166966524,568.1603937800028,-1.0018656253814697,13.97430919999897
