desc,seed,num_drones,reconnect_rel,first_conn,snap_150,snap_300,k20_150,k20_300,drops_after,sum_rate,infeasible_qp,category
"N=7, Seed=1000",1000,7,77.0,97.0,True,True,True,True,0,881.5171378163632,0,Benchmark Gate
"N=9, Seed=1001",1001,9,56.0,71.0,True,True,True,True,0,1224.2046849235398,0,Benchmark Gate
"N=9, Seed=1002",1002,9,44.0,64.0,True,True,True,True,0,1224.1099812894795,0,Benchmark Gate
"N=9, Seed=1003",1003,9,70.0,85.0,True,True,True,True,0,1223.9842289039684,0,Benchmark Gate
"N=11, Seed=1004",1004,11,45.0,65.0,True,True,True,True,0,1566.7737084798468,0,Benchmark Gate
"N=9, Seed=1005",1005,9,65.0,75.0,True,True,True,True,0,1223.960170260971,0,Benchmark Gate
"N=7, Seed=1006",1006,7,60.0,80.0,True,True,True,True,0,880.9075659916846,0,Benchmark Gate
"N=11, Seed=1007",1007,11,44.0,59.0,True,True,True,True,0,1566.4684422575365,0,Benchmark Gate
"N=7, Seed=1008",1008,7,61.0,76.0,True,True,True,True,0,881.4730095471011,0,Benchmark Gate
"N=7, Seed=1009",1009,7,46.0,66.0,True,True,True,True,0,881.1241330074076,0,Benchmark Gate
"N=7, Seed=1010",1010,7,68.0,88.0,True,True,True,True,0,881.8423530286134,0,Benchmark Gate
"N=11, Seed=1011",1011,11,45.0,60.0,True,True,True,True,0,1566.1231815411425,0,Benchmark Gate
"N=11, Seed=1012",1012,11,56.0,76.0,True,True,True,True,0,1566.7315141345646,0,Benchmark Gate
"N=7, Seed=1013",1013,7,100.0,120.0,True,True,True,True,0,881.5710498941698,0,Benchmark Gate
"N=9, Seed=1014",1014,9,45.0,60.0,True,True,True,True,0,1223.9419997427094,0,Benchmark Gate
"N=11, Seed=1015",1015,11,70.0,80.0,True,True,True,True,0,1565.863242611276,0,Benchmark Gate
"N=7, Seed=1016",1016,7,61.0,76.0,True,True,True,True,0,881.4730095471011,0,Benchmark Gate
"N=7, Seed=1017",1017,7,60.0,80.0,True,True,True,True,0,880.9075659916846,0,Benchmark Gate
"N=9, Seed=1018",1018,9,56.0,71.0,True,True,True,True,0,1224.2046849235398,0,Benchmark Gate
"N=9, Seed=1019",1019,9,84.0,94.0,True,True,True,True,0,1223.843551987392,0,Benchmark Gate
"N=9, Seed=1020",1020,9,70.0,85.0,True,True,True,True,0,1223.9842289039684,0,Benchmark Gate
