seed,num_drones,fail_agent_id,dara_conn,dara_time,dara_sum_rate,greedy_conn,greedy_time,greedy_sum_rate,ticks_pure_dara,ticks_polishing,infeasible_solves,total_solves
1000,7,5,True,72,881.2138658049411,True,73,881.6687145204695,74,76,0,76
1001,9,3,True,72,1223.325337872811,True,74,1224.008069861628,75,75,0,75
1002,9,5,True,62,1224.4839344774437,True,62,1225.4344974787753,63,87,0,87
1003,9,7,True,72,1223.3253378728105,True,74,1224.0269436937117,75,75,0,75
1004,11,7,True,62,1566.190633443015,True,62,1567.5266001812192,63,87,0,87
1005,9,2,True,103,1223.1738168815798,True,103,1223.573344573227,104,46,0,46
1006,7,3,True,90,881.246547298003,True,73,881.6687145204694,74,76,0,76
1007,11,4,True,62,1565.4201612149484,True,64,1566.945853523587,65,85,0,85
1008,7,3,True,90,881.246547298003,True,74,881.7697581878041,75,75,0,75
1009,7,4,True,62,881.7338615411358,True,63,882.164079120377,64,86,0,86
1010,7,2,True,103,881.0513597407984,True,102,881.3235635236455,103,47,0,47
1011,11,6,True,62,1566.5923370243527,True,62,1567.7005898832274,63,87,0,87
1012,11,3,True,72,1564.9383452607356,True,73,1565.5292175064008,74,76,0,76
1013,7,6,True,103,881.0513597407981,True,102,881.3111170790015,103,47,0,47
1014,9,4,True,62,1223.9217639392557,True,64,1225.1920112753717,65,85,0,85
1015,11,9,True,90,1564.9739675074786,True,73,1565.668713279008,74,76,0,76
1016,7,3,True,90,881.246547298003,True,74,881.7697581878041,75,75,0,75
1017,7,3,True,90,881.246547298003,True,73,881.6687145204694,74,76,0,76
1018,9,3,True,72,1223.325337872811,True,74,1224.008069861628,75,75,0,75
1019,9,8,True,103,1223.1738168815793,True,103,1223.547944172515,104,46,0,46
1020,9,7,True,72,1223.3253378728105,True,74,1224.0269436937117,75,75,0,75
1021,9,3,True,72,1223.325337872811,True,74,1224.008069861628,75,75,0,75
1022,7,5,True,72,881.2138658049411,True,73,881.7732329200594,74,76,0,76
1023,7,4,True,62,881.7338615411358,True,62,882.2486859744562,63,87,0,87
1024,9,3,True,72,1223.325337872811,True,73,1224.0958942952236,74,76,0,76
1025,11,10,True,103,1564.6466924322074,True,102,1565.153001314294,103,47,0,47
1026,9,4,True,62,1223.9217639392557,True,62,1225.2531130163622,63,87,0,87
1027,11,5,True,62,1566.5518833335357,True,62,1567.6469740976365,63,87,0,87
1028,9,5,True,62,1224.4839344774437,True,62,1225.6678106551608,63,87,0,87
1029,11,2,True,103,1564.646692432207,True,102,1565.0564488800853,103,47,0,47
1030,9,3,True,72,1223.325337872811,True,74,1224.008069861628,75,75,0,75
1031,9,2,True,103,1223.1738168815798,True,103,1223.573344573227,104,46,0,46
1032,7,4,True,62,881.7338615411358,True,64,882.2037011529744,65,85,0,85
1033,11,9,True,90,1564.9739675074786,True,73,1565.524443644172,74,76,0,76
1034,11,9,True,90,1564.9739675074786,True,74,1565.5742983188527,75,75,0,75
